Question	Answer	Confidence	Type	Timestamp
What is the difference between public and private channels?	Public channels are visible to all users and can be joined freely. Private channels are invitation-only and are only visible to their members. Private channels have a lock icon next to their name.	1	FAQ	2025-05-22T11:12:22.642Z
How do I search for messages?	Click the search icon in the top-right corner or use Ctrl/Cmd + K. You can search for messages, files, or users. Use filters like 'from:', 'in:', or 'before:' for advanced searches.	1	FAQ	2025-05-22T11:12:23.382Z
Can I integrate Rocket.Chat with other applications?	Yes, Rocket.Chat supports numerous integrations through webhooks, REST API, and native integrations. Popular integrations include GitHub, Jira, Trello, Google Calendar, and many more.	1	FAQ	2025-05-22T11:12:24.107Z
how can I integrate Rocket.Chat with other applications?	Download from respective app settings	1	FAQ	2025-05-22T11:12:24.798Z
How do I customize my profile?	Click your avatar in the top-left corner, select 'My Account', then 'Profile'. Here you can change your name, username, email, avatar image, and status message.	1	FAQ	2025-05-22T11:12:25.594Z
What are Rocket.Chat's security features?	Rocket.Chat includes end-to-end encryption, two-factor authentication (2FA), LDAP/Active Directory integration, OAuth support, and role-based access control (RBAC) for enterprise-grade security.	1	FAQ	2025-05-22T11:12:26.194Z
How do I share files in Rocket.Chat?	You can share files by dragging and dropping them into the chat window, clicking the attachment icon (paper clip), or pasting them directly. Supported file types include images, documents, and videos.	1	FAQ	2025-05-22T11:12:27.044Z
What are LiveChat features in Rocket.Chat?	LiveChat allows you to embed a chat widget on your website for customer support. It includes features like real-time visitor monitoring, chat routing, offline messaging, and integration with your existing channels.	1	FAQ	2025-05-22T11:12:27.642Z
How do I set up notifications?	Go to Preferences > Notifications to customize your notification settings. You can set different notification preferences for desktop, mobile, and email, and configure them per room/channel.	1	FAQ	2025-05-22T11:12:28.575Z
Can I use Rocket.Chat offline?	Yes, Rocket.Chat has offline support. Messages typed while offline will be sent when you reconnect. You can also access previously loaded messages and channels while offline.	1	FAQ	2025-05-22T11:12:29.092Z
How do I create a team?	Click the 'Teams' option in the sidebar, then click 'Create New'. Enter your team name, choose privacy settings, and add members. Teams can contain multiple channels and discussions.	1	FAQ	2025-05-22T11:12:30.024Z
How do I delete a channel?	Click the 'chats' option in the sidebar, then click 'delete'	1	FAQ	2025-05-22T11:12:30.553Z
What are Discussions in Rocket.Chat?	Discussions are threaded conversations that can be started from any message. They help organize conversations around specific topics within a channel. Click the 'Start Discussion' option on any message to create one.	1	FAQ	2025-05-22T11:12:31.505Z
How do I use message formatting?	Rocket.Chat supports Markdown formatting. Use *text* for bold, _text_ for italic, ~text~ for strikethrough, `text` for code, and ```text``` for code blocks. You can also use emojis by typing :emoji_name:.	1	FAQ	2025-05-22T11:12:32.026Z
What are slash commands?	Slash commands are shortcuts starting with '/' that perform specific actions. Common commands include /msg to direct message, /invite to add users, /topic to set channel topic, and /help to see all available commands.	1	FAQ	2025-05-22T11:12:32.990Z
How do I backup my Rocket.Chat data?	You can backup Rocket.Chat data by: 1) Using MongoDB's mongodump utility, 2) Taking filesystem snapshots, or 3) Using the built-in export tools in Administration > Import > Export Data.	1	FAQ	2025-05-22T11:12:33.505Z
How do I enable video calls in Rocket.Chat?	Video calls can be enabled through Jitsi integration. Go to Administration > Video Conference and enable Jitsi. Users can then start video calls by clicking the video icon in any chat.	1	FAQ	2025-05-22T11:12:34.439Z
What is Omnichannel in Rocket.Chat?	Omnichannel is Rocket.Chat's customer service solution that unifies various communication channels (LiveChat, Email, WhatsApp, etc.) into a single interface for customer support agents.	1	FAQ	2025-05-22T11:12:34.955Z
How do I set up email notifications?	Go to Administration > Email > SMTP Settings. Configure your SMTP server details including host, port, username, and password. Then enable email notifications in your user preferences.	1	FAQ	2025-05-22T11:12:35.850Z
Can I customize the appearance of Rocket.Chat?	Yes, administrators can customize the interface through Administration > Layout. You can change colors, logo, favicon, login page, and use custom CSS/JS for advanced customization.	1	FAQ	2025-05-22T11:12:36.369Z
How do I manage user roles and permissions?	Go to Administration > Permissions to manage roles. You can create new roles, modify existing ones, and assign specific permissions to each role. Users can be assigned multiple roles.	1	FAQ	2025-05-22T11:12:37.273Z
What are Rocket.Chat's API capabilities?	Rocket.Chat offers REST API, Real-time API, and GraphQL API. These can be used for custom integrations, chatbots, and extending functionality. API documentation is available at docs.rocket.chat.	1	FAQ	2025-05-22T11:12:37.842Z
How do I troubleshoot connection issues?	Check your internet connection, clear browser cache, verify server status, ensure correct server URL, and check firewall settings. For persistent issues, check server logs or contact your administrator.	1	FAQ	2025-05-22T11:12:38.998Z
What are Rocket.Chat's file sharing limits?	Default file size limits can be configured by administrators. Go to Administration > File Upload to set maximum file size, allowed file types, and storage location (local, Amazon S3, Google Cloud).	1	FAQ	2025-05-22T11:12:39.435Z
How do I create custom emojis?	Administrators can add custom emojis through Administration > Custom Emoji. Upload an image file, set an alias, and optionally add tags. Users can then use these emojis like built-in ones.	1	FAQ	2025-05-22T11:12:40.454Z
What is Federation in Rocket.Chat?	Federation allows different Rocket.Chat servers to communicate with each other. Users on one server can chat with users on another federated server, enabling cross-organization communication.	1	FAQ	2025-05-22T11:12:40.969Z
How do I set up LDAP authentication?	Go to Administration > LDAP. Configure your LDAP server settings including host, port, bind credentials, and user search filters. Test the connection before enabling LDAP authentication.	1	FAQ	2025-05-22T11:12:41.917Z
Can I use Rocket.Chat with multiple languages?	Yes, Rocket.Chat supports multiple languages. Users can select their preferred language in Preferences > User Interface > Language. Administrators can manage available languages in Administration > Settings.	1	FAQ	2025-05-22T11:12:42.479Z
How do I create and use message templates?	Message templates can be created using the /template command or through Administration > Message Templates. Templates help standardize responses and save time for frequently used messages.	1	FAQ	2025-05-22T11:12:43.348Z
What are Rocket.Chat's backup best practices?	Regular backups should include: 1) MongoDB database dumps, 2) Uploaded files, 3) Custom configurations, and 4) Integration settings. Store backups securely and test restoration procedures periodically.	1	FAQ	2025-05-22T11:12:43.913Z
How do I set up push notifications?	Push notifications require configuring a push gateway. Use Rocket.Chat's push gateway or set up your own. Configure certificates for iOS and Firebase Cloud Messaging for Android in Administration > Push.	1	FAQ	2025-05-22T11:12:44.938Z
What are Rocket.Chat's scaling capabilities?	Rocket.Chat can scale horizontally by adding more application servers and vertically by increasing server resources. Use load balancers, optimize MongoDB, and implement microservices architecture for large deployments.	1	FAQ	2025-05-22T11:12:45.349Z
How do I implement SSO (Single Sign-On)?	Rocket.Chat supports various SSO providers including OAuth, SAML, and OpenID Connect. Configure your chosen provider in Administration > OAuth or SAML. Common providers include Google, GitHub, and custom SAML IdPs.	1	FAQ	2025-05-22T11:12:46.413Z
What are Rocket.Chat's compliance features?	Compliance features include message auditing, data retention policies, user access logs, and export capabilities. Enable these in Administration > Compliance and configure retention rules as needed.	1	FAQ	2025-05-22T11:12:46.944Z
How do I optimize Rocket.Chat performance?	Optimize performance by: 1) Using appropriate hardware, 2) Configuring MongoDB indexes, 3) Implementing caching, 4) Managing message history limits, and 5) Using CDN for media delivery.	1	FAQ	2025-05-22T11:12:47.816Z
Where can I download Rocket.Chat desktop apps?	Download Rocket.Chat desktop apps from https://rocket.chat/download. Official apps are available for Windows (exe), macOS (dmg), and Linux (deb, rpm, snap). You can also download from the GitHub releases page.	1	FAQ	2025-05-22T11:12:48.407Z
How do I install Rocket.Chat on Windows?	1) Download the Windows installer (.exe) from rocket.chat/download, 2) Double-click the installer, 3) Follow the installation wizard, 4) Choose installation location and start menu preferences, 5) Launch the app and connect to your server.	1	FAQ	2025-05-22T11:12:49.233Z
How do I install Rocket.Chat on macOS?	1) Download the macOS disk image (.dmg) from rocket.chat/download, 2) Open the .dmg file, 3) Drag Rocket.Chat to your Applications folder, 4) Launch from Applications, 5) If needed, right-click and select Open to bypass Gatekeeper.	1	FAQ	2025-05-22T11:12:50.894Z
How do I install Rocket.Chat on Ubuntu?	You can install Rocket.Chat on Ubuntu using snap: 1) Open terminal, 2) Run 'sudo snap install rocketchat-server', 3) Wait for installation to complete, 4) Access via http://localhost:3000. Alternatively, use 'apt install rocketchat' if using the official repository.	1	FAQ	2025-05-22T11:12:51.492Z
How do I install Rocket.Chat mobile app on iOS?	1) Open the App Store on your iOS device, 2) Search for 'Rocket.Chat', 3) Look for the official app by Rocket.Chat, 4) Tap 'Get' or the download icon, 5) Authenticate with Face ID/Touch ID if required, 6) Open the app and connect to your server.	1	FAQ	2025-05-22T11:12:52.305Z
How do I install Rocket.Chat mobile app on Android?	1) Open Google Play Store, 2) Search for 'Rocket.Chat', 3) Select the official app by Rocket.Chat, 4) Tap 'Install', 5) Accept the permissions, 6) Wait for download and installation, 7) Open and connect to your server.	1	FAQ	2025-05-22T11:12:52.969Z
How do I deploy Rocket.Chat using Docker?	To deploy with Docker: 1) Install Docker, 2) Run 'docker pull rocket.chat', 3) Run 'docker run -p 3000:3000 rocket.chat'. For production, use docker-compose with MongoDB: create a docker-compose.yml file with both services and run 'docker-compose up -d'.	1	FAQ	2025-05-22T11:12:53.750Z
What are the minimum requirements for Rocket.Chat mobile apps?	Mobile apps require: iOS 11.0 or later for Apple devices, Android 5.0 (Lollipop) or later for Android devices. Stable internet connection recommended. Some features may require newer OS versions.	1	FAQ	2025-05-22T11:12:54.462Z
How do I update Rocket.Chat desktop app?	Desktop apps can auto-update: 1) Click 'Check for Updates' in app menu, 2) If available, click 'Download and Install'. Manual update: download latest version from rocket.chat/download and install over existing version. Settings are preserved.	1	FAQ	2025-05-22T11:12:55.248Z
Can I install multiple instances of Rocket.Chat?	Yes, you can run multiple instances by: 1) Using different ports for each instance, 2) Using Docker containers with different names/ports, 3) Using separate virtual machines, or 4) Using different subdomains in production.	1	FAQ	2025-05-22T11:12:55.902Z
How do I install Rocket.Chat on AWS?	Deploy on AWS: 1) Use AWS Marketplace for one-click deployment, 2) Launch EC2 instance with Rocket.Chat AMI, 3) Configure security groups for ports 3000/443, 4) Access via instance's public IP. Alternatively, use AWS ECS with Docker.	1	FAQ	2025-05-22T11:12:56.364Z
How do I install Rocket.Chat on DigitalOcean?	Deploy on DigitalOcean: 1) Use Marketplace 1-Click App, 2) Choose droplet size (minimum 2GB RAM), 3) Select datacenter region, 4) Add SSH keys, 5) Create droplet, 6) Access via droplet's IP address once installation completes.	1	FAQ	2025-05-22T11:12:56.760Z
What are common installation errors and solutions?	Common issues: 1) Port 3000 already in use - change port, 2) MongoDB connection fails - check MongoDB service, 3) Insufficient memory - increase RAM/swap, 4) Permission errors - run with sudo/correct permissions, 5) Network issues - check firewall settings.	1	FAQ	2025-05-22T11:12:57.193Z
How do I verify my Rocket.Chat installation?	Verify installation: 1) Check server is running (http://localhost:3000), 2) Create admin account, 3) Test basic features (messaging, file upload), 4) Check logs for errors, 5) Monitor system resources, 6) Test external access if needed.	1	FAQ	2025-05-22T11:12:57.664Z
how to make a group	The passage is relevant and answers the question.  To create a group (referred to as a "Team" in this context), follow these steps:  1. Click 'Teams' in the sidebar. 2. Click 'Create New'. 3. Enter your team name. 4. Choose your privacy settings. 5. Add members.  Is there anything else I can help you with regarding creating teams?	0.6540687680244446	User Query	2025-05-22T11:14:12.976Z